Image-Name,File-Type,File-Size,Converted-File-Size,Conversion-Time
"AI_300_DPI.ai","ai",334.733,33.352,531
"AI_72_DPI.ai","ai",334.732,33.352,212
"AI_96_DPI.ai","ai",334.732,33.352,253
"AI_Black_White.ai","ai",39.345,8.144,251
"AI_Full_Color.ai","ai",295.983,27.71,355
"AI_Gray_Scale.ai","ai",282.877,23.474,256
"AI_Transparent.ai","ai",50.472,8.075,223
"BMP_256.bmp","bmp",5880.056,32.863,232
"BMP_300_DPI.bmp","bmp",7840.054,40.115,220
"BMP_72_DPI.bmp","bmp",7840.054,40.115,194
"BMP_96_DPI.bmp","bmp",7840.054,40.115,160
"BMP_Black_White.bmp","bmp",5880.056,12.309,123
"BMP_Full_Color.bmp","bmp",5880.056,34.397,140
"BMP_Gray_Scale.bmp","bmp",1961.08,11.2,91
"BMP_Transparent.bmp","bmp",5880.056,20.745,152
"EPS_300_DPI.eps","eps",1526.556,14.78,770
"EPS_72_DPI.eps","eps",1526.555,14.782,660
"EPS_96_DPI.eps","eps",1526.555,14.735,665
"EPS_Black_White.eps","eps",8798.651,11.436,2474
"EPS_Full_Color.eps","eps",11929.067,28.965,3326
"EPS_Gray_Scale.eps","eps",11929.067,23.25,3041
"EPS_Transparent.eps","eps",7946.105,8.392,2043
"GIF_256.gif","gif",301.869,33.1,140
"GIF_Black_White.gif","gif",98.596,7.715,73
"GIF_Full_Color.gif","gif",774.572,38.068,83
"GIF_Gray_Scale.gif","gif",654.177,11.179,69
"GIF_Transperant.gif","gif",187.753,24.24,88
"JPG_256.jpg","jpg",737.399,34.159,219
"JPG_300_DPI.jpg","jpg",296.73,43.951,99
"JPG_72_DPI.jpg","jpg",129.727,36.16,82
"JPG_96_DPI.jpg","jpg",129.727,36.16,131
"JPG_Black_White.jpg","jpg",348.444,40.151,119
"JPG_Full_Color.jpg","jpg",311.59,56.202,106
"JPG_Gray_Scale.jpg","jpg",263.145,28.955,76
"JPG_Transparent.jpg","jpg",532.245,34.141,106
"PDF_300_DPI.pdf","pdf",401.468,34.532,298
"PDF_72_DPI.pdf","pdf",453.286,35.154,239
"PDF_96_DPI.pdf","pdf",438.933,34.953,213
"PDF_Black_White.pdf","pdf",39.346,8.144,223
"PDF_Full_Color.pdf","pdf",295.984,27.71,384
"PDF_Gray_Scale.pdf","pdf",282.878,23.474,311
"PDF_Transparent.pdf","pdf",50.473,8.075,306
"PNG_256.png","png",59.585,25.073,99
"PNG_300_DPI.png","png",2480.123,36.627,326
"PNG_72_DPI.png","png",266.702,34.88,80
"PNG_96_DPI.png","png",421.927,34.404,68
"PNG_Black_White.png","png",109.818,15.046,103
"PNG_Full_Color.png","png",302.931,29.517,175
"PNG_Gray_Scale.png","png",619.157,18.098,127
"PNG_Transperant.png","png",292.424,28.933,147
"SVG_300_DPI.svg","svg",342.246,"Error","Error"
"SVG_72_DPI.svg","svg",342.246,"Error","Error"
"SVG_96_DPI.svg","svg",342.246,"Error","Error"
"SVG_Black_White.svg","svg",34.069,13.63,342
"SVG_Full_Color.svg","svg",228.813,1.228,785
"SVG_Grayscale.svg","svg",283.976,11.231,427
"SVG_Transparent.svg","svg",29.693,12.528,324
"TIF_256.tif","tif",361.17,83.881,163
